County,License Number,MSDE Program Type,Program Name,City Name,Zip Code,Participation Status,Draft Rating,Publishing Status,Published Rating,Published Rubric Version,Date Published,Expiration Date,Application Acceptance Date,Achievements,Accreditations,Alternative Pathways,Assigned Program Coordinator
Howard,13-0608,Prekindergarten,Stevens Forest Elementary,Columbia,21045,Yes,0,,,,,,Oct 26 2021,,,,
Howard,13-0609,Prekindergarten,Talbott Springs Elementary,Columbia,21045,Yes,0,,,,,,Apr 10 2020,,,,
Howard,13-0613,Prekindergarten,Jeffers Hill Elementary,Columbia,21045,Yes,0,,,,,,Oct 26 2021,,,,
Howard,13-0620,Prekindergarten,Bollman Bridge Elementary,Jessup,20794,Yes,3,,,,,,Nov 07 2023,,,,Michelle Bruns
Howard,13-0622,Prekindergarten,Forest Ridge Elementary,Laurel,20723,Yes,3,,,,,,Nov 07 2023,,,,Michelle Bruns
Howard,13-0625,Prekindergarten,Gorman Crossing Elementary,Laurel,20723,Yes,3,,,,,,Nov 07 2023,,,,Michelle Bruns
Kent,14-0105,Prekindergarten,Galena Elementary School,Galena,21635,Yes,0,,,,,,Oct 25 2022,,,,
Kent,14-0504,Prekindergarten,Rock Hall Elementary,Rock Hall,21661,Yes,0,,,,,,Oct 25 2022,,,,
Montgomery,15-0316,Prekindergarten,Stonegate Elementary,Silver Spring,20905,Yes,3,,,,,,Apr 25 2023,,,,Michelle Bruns
Montgomery,15-0556,Prekindergarten,Mill Creek Towne Elementary,Rockville,20855,Yes,0,,,,,,Dec 07 2022,,,Maryland Accreditation 2026-05-31,
Montgomery,15-0754,Prekindergarten,Takoma Park Elementary,Takoma Park,20912,Yes,0,,,,,,Mar 22 2022,,,Maryland Accreditation 2026-06-30,
Prince George's,16-0105,Prekindergarten,Calverton Elementary,Beltsville,20705,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-0107,Prekindergarten,Frances Fuchs Early Childhood Center,Beltsville,20705,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-0111,Prekindergarten,Vansville Elementary,Beltsville,20705,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-0205,Prekindergarten,Bladensburg Elementary,Bladensburg,20710,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-0211,Prekindergarten,Gladys Noon Spellman Elementary,Cheverly,20785,Yes,4,Active,4,1,Aug 15 2023,Aug 14 2024,Aug 30 2022,,,Maryland Accreditation 2026-06-30,Michelle Bruns
Prince George's,16-0217,Prekindergarten,Port Towns Elementary,Bladensburg,20710,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-0607,Prekindergarten,Hillcrest Heights Elementary,Temple Hills,20748,Yes,4,Active,4,1,Nov 02 2023,Nov 01 2024,Oct 25 2022,,,Maryland Accreditation 2026-06-30,Michelle Bruns
Prince George's,16-0617,Prekindergarten,Francis Scott Key Elementary,District Heights,20747,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-0633,Prekindergarten,Overlook Elementary,Temple Hills,20748,Yes,5,Active,5,1,Nov 14 2023,Nov 13 2024,May 05 2020,,,Maryland Accreditation 2025-06-30,Michelle Bruns
Prince George's,16-0636,Prekindergarten,William Beanes Elementary,Suitland,20746,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-0640,Prekindergarten,Arrowhead Elementary,Upper Marlboro,20774,Yes,0,,,,,,Aug 30 2022,,,,
Prince George's,16-0648,Prekindergarten,Samuel P. Massie Academy,Forestville,20747,Yes,5,Active,5,1,Jun 21 2023,Jun 20 2024,Aug 30 2022,,,Maryland Accreditation 2026-06-30,Michelle Bruns
Prince George's,16-0656,Prekindergarten,Panorama Elementary,Temple Hills,20748,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-0706,Prekindergarten,Woodmore Elementary,Mitchellville,20721,Yes,4,Active,4,1,Oct 11 2023,Oct 10 2024,Aug 30 2022,,,,Michelle Bruns
Prince George's,16-0905,Prekindergarten,Tayac Elementary,Fort Washington,20744,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-1009,Prekindergarten,Oaklands Elementary,Laurel,20708,Yes,4,Active,4,1,Jun 23 2023,Jun 22 2024,Aug 30 2022,,,Maryland Accreditation 2026-06-30,Michelle Bruns
Prince George's,16-1014,Prekindergarten,Scotchtown Hills Elementary,Laurel,20707,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-1201,Prekindergarten,Oxon Hill Elementary,Oxon Hill,20745,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-1204,Prekindergarten,Forest Heights Elementary,Oxon Hill,20745,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-1208,Prekindergarten,Flintstone Elementary,Oxon Hill,20745,Yes,5,Active,5,1,May 03 2023,May 02 2024,Mar 11 2020,,,Maryland Accreditation 2025-05-31,Michelle Bruns
Prince George's,16-1218,Prekindergarten,Valley View Elementary,Oxon Hill,20745,Yes,4,Active,4,1,Aug 16 2023,Aug 15 2024,Aug 30 2022,,,Maryland Accreditation 2026-06-30,Michelle Bruns
Prince George's,16-1219,Prekindergarten,Barnaby Manor Elementary,Oxon Hill,20745,Yes,4,Active,4,1,Jan 18 2023,Jan 18 2024,Mar 11 2020,,,Maryland Accreditation 2025-05-31,Michelle Bruns
Prince George's,16-1302,Prekindergarten,Columbia Park Elementary,Landover,20785,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-1307,Prekindergarten,Highland Park Elementary,Landover,20785,Yes,5,Active,5,1,Jul 11 2023,Jul 10 2024,May 05 2020,,,Maryland Accreditation 2026-06-30,Michelle Bruns
Prince George's,16-1310,Prekindergarten,Dodge Park Elementary,Landover,20785,Yes,4,Active,4,1,Jul 28 2023,Jul 27 2024,Aug 30 2022,,,Maryland Accreditation 2026-06-30,Michelle Bruns
Prince George's,16-1324,Prekindergarten,Kettering Elementary,Upper Marlboro,20774,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-1333,Prekindergarten,Judge Sylvania W. Woods Sr. Elementary,Glenarden,20706,Yes,0,,,,,,Aug 30 2022,,,Maryland Accreditation 2026-12-31,
Prince George's,16-1347,Prekindergarten,Cora L. Rice Elementary,Landover,20785,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-1414,Prekindergarten,Catherine T. Reed Elementary,Lanham,20706,Yes,4,Active,4,1,Aug 10 2023,Aug 09 2024,Aug 30 2022,,,Maryland Accreditation 2026-05-31,Michelle Bruns
Prince George's,16-1424,Prekindergarten,Montpelier Elementary,Laurel,20708,Yes,3,,,,,,Sep 13 2023,,,,Michelle Bruns
Prince George's,16-1432,Prekindergarten,Rockledge Elementary,Bowie,20715,Yes,5,Active,5,1,Jun 23 2023,Jun 22 2024,Sep 22 2022,,,Maryland Accreditation 2026-05-31,Michelle Bruns
Prince George's,16-1433,Prekindergarten,Chapel Forge Early Childhood Center,Bowie,20715,Yes,5,Active,5,1,Aug 29 2023,Aug 28 2024,Mar 11 2020,,,Maryland Accreditation 2026-06-30,Michelle Bruns
Prince George's,16-1511,Prekindergarten,Marlton Elementary,Upper Marlboro,20772,Yes,5,Active,5,1,Jun 21 2023,Jun 20 2024,Sep 22 2022,,,Maryland Accreditation 2026-06-30,Michelle Bruns
Prince George's,16-1518,Prekindergarten,Barack Obama Elementary,Upper Marlboro,20772,Yes,5,Active,5,1,Jun 23 2023,Jun 22 2024,Aug 30 2022,,,Maryland Accreditation 2026-06-30,Michelle Bruns
Prince George's,16-1601,Prekindergarten,Hyattsville Elementary,Hyattsville,20781,Yes,5,Active,5,1,Jun 08 2023,Jun 07 2024,Aug 30 2022,,,Maryland Accreditation 2026-05-31,Michelle Bruns
Prince George's,16-1604,Prekindergarten,Edward M. Felegy ES,Hyattsville,20782,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-1703,Prekindergarten,Mt Rainier Elementary,Mt Rainier,20712,Yes,5,Active,5,1,Jun 23 2023,Jun 22 2024,Aug 30 2022,,,Maryland Accreditation 2026-05-31,Michelle Bruns
Prince George's,16-1706,Prekindergarten,Thomas S. Stone Elementary,Mt Rainier,20712,Yes,4,Active,4,1,Jun 15 2023,Jun 14 2024,Aug 30 2022,,,Maryland Accreditation 2026-05-31,Michelle Bruns
Prince George's,16-1709,Prekindergarten,Chillum Elementary,Hyattsville,20782,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-1712,Prekindergarten,Lewisdale Elementary,Hyattsville,20783,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-1714,Prekindergarten,Adelphi Elementary,Adelphi,20783,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-1719,Prekindergarten,Langley Park/McCormick Elementary,Hyattsville,20783,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-1731,Prekindergarten,Rosa L. Parks Elementary,Hyattsville,20782,Yes,3,,,,,,Dec 05 2023,,,,Michelle Bruns
Prince George's,16-1802,Prekindergarten,Seat Pleasant Elementary,Seat Pleasant,20743,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-1816,Prekindergarten,John H. Bayne Elementary,Capitol Heights,20743,Yes,4,Active,4,1,Aug 15 2023,Aug 14 2024,Aug 30 2022,,,Maryland Accreditation 2026-06-30,Michelle Bruns
Prince George's,16-1830,Prekindergarten,William W. Hall Academy,Capitol Heights,20743,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-1901,Prekindergarten,Riverdale Elementary,Riverdale,20737,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-1902,Prekindergarten,University Park Elementary,Hyattsville,20782,Yes,4,Active,4,1,Jun 21 2023,Jun 20 2024,Aug 30 2022,,,Maryland Accreditation 2026-06-30,Michelle Bruns
Prince George's,16-1907,Prekindergarten,Beacon Heights Elementary,Riverdale,20737,Yes,5,Active,5,1,Dec 12 2023,Dec 11 2024,Mar 11 2020,,,Maryland Accreditation 2025-06-30,Michelle Bruns
Prince George's,16-2005,Prekindergarten,Carrollton Elementary,New Carrollton,20784,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-2007,Prekindergarten,Woodridge Elementary,Hyattsville,20784,Yes,5,Active,5,1,Jun 15 2023,Jun 14 2024,Aug 30 2022,,,Maryland Accreditation 2026-05-31,Michelle Bruns
Prince George's,16-2008,Prekindergarten,Ardmore Elementary,Springdale,20774,Yes,3,,,,,,Aug 29 2023,,,,Michelle Bruns
Prince George's,16-2014,Prekindergarten,Lamont Elementary,New Carrollton,20784,Yes,5,Active,5,1,Jun 23 2023,Jun 22 2024,Aug 30 2022,,,Maryland Accreditation 2026-05-31,Michelle Bruns
Prince George's,16-2107,Prekindergarten,Hollywood Elementary,College Park,20740,Yes,4,Active,4,1,Jun 23 2023,Jun 22 2024,Aug 30 2022,,,Maryland Accreditation 2026-05-31,Michelle Bruns
Prince George's,16-2113,Prekindergarten,Springhill Lake Elementary,Greenbelt,20770,Yes,5,Active,5,1,Jun 23 2023,Jun 22 2024,Aug 30 2022,,,Maryland Accreditation 2026-06-30,Michelle Bruns
Prince George's,16-2122,Prekindergarten,Magnolia Elementary,Lanham,20706,Yes,3,,,,,,Aug 15 2023,,,,Michelle Bruns
Queen Anne's,17-0308,Prekindergarten,Centreville Elementary School,Centreville,21617,Yes,4,Active,4,1,Dec 27 2023,Dec 26 2024,Dec 07 2022,,,,Michelle Bruns
Queen Anne's,17-0402,Prekindergarten,Kent Island Elementary School,Stevensville,21666,Yes,4,Active,4,1,Mar 23 2023,Mar 22 2024,Nov 22 2022,,,,Michelle Bruns
Queen Anne's,17-0406,Prekindergarten,Matapeake Elementary School,Stevensville,21666,Yes,5,Active,5,1,Nov 27 2023,Nov 26 2024,Sep 30 2022,,,Maryland Accreditation 2026-11-30,Michelle Bruns
Queen Anne's,17-0503,Prekindergarten,Grasonville Elementary School,Grasonville,21638,Yes,5,Active,5,1,Nov 27 2023,Nov 26 2024,Sep 30 2022,,,Maryland Accreditation 2026-11-30,Michelle Bruns
Saint Mary's,18-0104,Prekindergarten,Ridge Elementary,Ridge,20680,Yes,0,,,,,,Dec 07 2022,,,,
Saint Mary's,18-0301,Prekindergarten,Leonardtown Elementary,Leonardtown,20650,Yes,0,,,,,,Dec 07 2022,,,,
Saint Mary's,18-0302,Prekindergarten,Benjamin Banneker Elementary,Loveville,20656,Yes,0,,,,,,Dec 07 2022,,,,
Saint Mary's,18-0308,Prekindergarten,Captain Walter Francis Duke Elementary,Leonardtown,20650,Yes,0,,,,,,Dec 07 2022,,,,
Saint Mary's,18-0602,Prekindergarten,Oakville Elementary,Mechanicsville,20659,Yes,0,,,,,,Nov 08 2022,,,,
Saint Mary's,18-0604,Prekindergarten,Hollywood Elementary,Hollywood,20636,Yes,0,,,,,,Dec 07 2022,,,,
Saint Mary's,18-0702,Prekindergarten,Dynard Elementary,Chaptico,20621,Yes,0,,,,,,Dec 07 2022,,,,
Saint Mary's,18-0804,Prekindergarten,Lexington Park Elementary,Lexington Park,20653,Yes,0,,,,,,Dec 07 2022,,,,
Saint Mary's,18-0806,Prekindergarten,Town Creek Elementary,Lexington Park,20653,Yes,0,,,,,,Nov 08 2022,,,,
Saint Mary's,18-0810,Prekindergarten,Greenview Knolls Elementary,Great Mills,20634,Yes,0,,,,,,Dec 07 2022,,,,
Washington,21-0305,Prekindergarten,Washington County Technical High,Hagerstown,21740,Yes,0,,,,,,Nov 21 2022,,,,
Washington,21-2505,Prekindergarten,Marshall Street School,Hagerstown,21740,Yes,0,,,,,,Dec 07 2022,,,,
Wicomico,22-0106,Prekindergarten,Northwestern Elementary,Mardela Springs,21837,Yes,5,Active,5,1,May 15 2023,May 14 2024,Apr 27 2020,,,Maryland Accreditation 2025-06-30,Michelle Bruns
Wicomico,22-1103,Prekindergarten,Delmar Elementary,Delmar,21875,Yes,5,Active,5,1,May 03 2023,May 02 2024,Apr 13 2021,,,Maryland Accreditation 2025-05-31,Michelle Bruns
Worcester,23-0102,Prekindergarten,Pocomoke Elementary,Pocomoke City,21851,Yes,5,Active,5,1,Apr 06 2023,Apr 05 2024,Apr 03 2020,Accredited Program 2025-04-30,,Maryland Accreditation 2025-04-30,Michelle Bruns
Worcester,23-1001,Prekindergarten,Ocean City Elementary,Ocean City,21842,Yes,5,Active,5,1,May 17 2023,May 16 2024,Oct 12 2021,,,Maryland Accreditation 2025-06-30,Michelle Bruns
Baltimore City,30-0007,Prekindergarten,Cecil Elementary,Baltimore,21218,Yes,3,,,,,,Apr 25 2023,,,,Michelle Bruns
Baltimore City,30-0134,Prekindergarten,Walter P. Carter Elementary/Middle,Baltimore,21212,Yes,0,,,,,,Dec 19 2022,,,,
Baltimore City,30-0144,Prekindergarten,Billie Holiday Elementary,Baltimore,21216,Yes,0,,,,,,Dec 19 2022,,,,
Baltimore City,30-0347,Prekindergarten,KIPP Harmony Academy,Baltimore,21216,Yes,3,,,,,,Nov 07 2023,,,,Michelle Bruns
Baltimore City,255987,Center,Fitness Fun & Games at Archbishop Borders,Baltimore,21224,Yes,3,Active,3,2,Aug 22 2023,Aug 21 2024,Jan 29 2020,,,,Sarah Thistle
Prince George's,255983,Family Childcare,Samantha Palmore,District Heights,20747,Yes,1,Active,1,2,Jan 12 2023,Jan 12 2024,Dec 04 2019,,,No Additional Staff,Amy Brannock
Baltimore,259200,Family Childcare,Mollie Gutridge,Essex,21221,Yes,1,Active,1,2,Apr 20 2023,Apr 19 2024,Aug 25 2020,,,,Carla Hillery
Baltimore,255994,Center,Excellent Start Learning Center-Windsor Mill,Baltimore,21244,Yes,5,Active,5,3,Sep 08 2023,Sep 07 2024,Dec 17 2019,Accredited Program 2025-02-28,National Early Childhood Program Accreditation (NECPA) 2028-02-28,National Early Childhood Program Accreditation (NECPA) 2025-02-28,Rachel Dorf
Montgomery,256005,Family Childcare,Manjula Gunawardana,Silver Spring,20902,Yes,1,Active,1,2,Feb 08 2023,Feb 08 2024,Jan 08 2020,,,,Trish Miller
Anne Arundel,256006,Family Childcare,Gwendolyn Gross,Annapolis,21403,Yes,1,Active,1,2,Sep 27 2023,Sep 26 2024,Dec 04 2019,,,,Nancy Gumbel
Baltimore City,256009,Family Childcare,Linda Robeson,Baltimore,21206,Yes,1,Active,1,2,Jul 11 2023,Jul 10 2024,Jan 29 2020,,,No Additional Staff,Beth Snyder
Saint Mary's,255992,Family Childcare,Samantha Joy,Hollywood,20636,Yes,0,,,,,,Oct 10 2023,,,,Nancy Gumbel
Howard,260321,Family Childcare,Shamsa Khan,Jessup,20794,Yes,1,Active,1,2,Oct 25 2023,Oct 24 2024,Mar 11 2020,,,,Amy Brannock
Baltimore City,256042,Family Childcare,Iris Stewart,Baltimore,21239,Yes,3,Active,3,2,Sep 05 2023,Sep 04 2024,Dec 17 2019,,,No Additional Staff,Trish Miller
Allegany,259321,Large Family Childcare,Siobhan Lewis-Roach,Frostburg,21532,Yes,5,Active,5,2,Nov 02 2023,Nov 01 2024,Jan 08 2020,Eco-Friendly Program 2024-07-20,National Association for Family Child Care (NAFCC),National Association for Family Child Care (NAFCC) 2026-08-01,Sally Gill
Carroll,256062,Center,Coppermine 4 Seasons,Hampstead,21074,Yes,1,Active,1,2,Feb 22 2023,Feb 22 2024,Mar 25 2020,,,,Julie Mitchell
Prince George's,256064,Family Childcare,LaKisha Thomas,Hyattsville,20785,Yes,1,Active,1,2,Sep 15 2023,Sep 14 2024,Jan 08 2020,,,No Additional Staff,Trish Miller
Baltimore,256068,Family Childcare,Deneque Briggs,Randallstown,21133,Yes,1,Active,1,2,Sep 29 2023,Sep 28 2024,Feb 26 2020,,,,Theresa Lutz
Charles,256067,Center,Little Angels Learning Center II,Waldorf,20602,Yes,3,Active,3,3,Nov 01 2023,Oct 31 2024,Jan 08 2020,,,,Rachel Dorf
Prince George's,256080,Family Childcare,Rebecca Thompson,Bowie,20721,Yes,3,Active,3,2,Aug 21 2023,Aug 20 2024,Feb 23 2021,,,No Additional Staff,Carla Hillery
Caroline,256086,Family Childcare,Manoucheca Jean,Federalsburg,21632,Yes,1,Active,1,2,Mar 01 2023,Feb 29 2024,Jan 08 2020,,,No Additional Staff,Ann Evans
Charles,256087,Family Childcare,Ayana Holt,Waldorf,20603,Yes,1,Active,1,2,Jul 21 2023,Jul 20 2024,Feb 12 2020,,,,Carla Hillery
Baltimore City,256101,Family Childcare,Sharon Hicks,Baltimore,21216,Yes,3,Active,3,2,Aug 16 2023,Aug 15 2024,Jan 08 2020,,,No Additional Staff,Ann Evans
Montgomery,256142,Family Childcare,Masu Koraganie,Clarksburg,20871,Yes,1,Active,1,2,Aug 08 2023,Aug 07 2024,Feb 26 2020,,,,Theresa Lutz
Anne Arundel,256140,Family Childcare,Jovan Brown,Annapolis,21401,Yes,1,Active,1,2,Jul 18 2023,Jul 17 2024,Jan 29 2020,,,,Liana Vega-Hernandez
Montgomery,256143,Center,Shaare Torah Early Childhood Center,Gaithersburg,20878,Yes,1,Active,1,3,Jul 14 2023,Jul 13 2024,Feb 26 2020,,,,Carla Hillery
Garrett,256160,Large Family Childcare,Meggan Humberson,Accident,21520,Yes,3,Active,3,2,Jul 26 2023,Jul 25 2024,Jan 29 2020,,,,Julie Mitchell
Baltimore,256162,Center,Drool of Rock-Owings Mills,Owings Mills,21117,Yes,1,Active,1,3,Oct 04 2023,Oct 03 2024,Jan 29 2020,,,,Liana Vega-Hernandez
Cecil,256164,Center,The Learning Exchange Kids,Elkton,21921,Yes,1,Active,1,3,Jan 18 2023,Jan 18 2024,Feb 12 2020,,,,Karina Cortes Hudack
Prince George's,255995,Family Childcare,Rhea Dixon-Smith,Upper Marlboro,20772,Yes,1,Active,1,2,Dec 29 2023,Dec 28 2024,Jan 29 2020,,,No Additional Staff,Theresa Lutz
Harford,256185,Family Childcare,Sierra Moore,Abingdon,21009,Yes,1,Active,1,2,Apr 05 2023,Apr 04 2024,Jan 29 2020,,,,Liana Vega-Hernandez
Baltimore,256200,Family Childcare,Saima Faiz,Catonsville,21228,Yes,1,Active,1,2,Mar 27 2023,Mar 26 2024,Mar 11 2020,,,,Amy Brannock
Baltimore City,258387,Family Childcare,Kimberly Noakes,Baltimore,21223,Yes,1,Active,1,2,May 31 2023,May 30 2024,Feb 12 2020,,,,Sarah Thistle
Anne Arundel,256210,Family Childcare,Laura Atwell,Laurel,20724,Yes,0,,,,,,Aug 29 2023,,,,Yvette Dodson
Prince George's,256215,Family Childcare,Witney Perkins,Upper Marlboro,20772,Yes,1,Active,1,2,Feb 06 2023,Feb 06 2024,Feb 12 2020,,,No Additional Staff,Trish Miller
Baltimore,256223,Family Childcare,Lakeisha Jones,Catonsville,21228,Yes,1,Active,1,2,Aug 08 2023,Aug 07 2024,Apr 10 2020,,,No Additional Staff,Ann Evans
Frederick,256246,Family Childcare,Nadia Foly,Frederick,21701,Yes,1,Active,1,2,Apr 10 2023,Apr 09 2024,Apr 10 2020,,,No Additional Staff,Ann Evans
Baltimore City,256249,Family Childcare,Dana Jefferson,Baltimore,21215,Yes,1,Active,1,2,Oct 26 2023,Oct 25 2024,Sep 22 2020,,,,Nancy Gumbel
Charles,256260,Center,Building Blocks ELC,Waldorf,20601,Yes,3,Active,3,3,Jul 11 2023,Jul 10 2024,Feb 26 2020,,,,Carla Hillery
Prince George's,256263,Center,"SKC Early Education Centers - Largo,LLC",Largo,20774,Yes,1,Active,1,3,Jul 07 2023,Jul 06 2024,Jul 28 2020,,,,Yvette Dodson
Prince George's,256261,Center,Greenwood Early Learning Center,Hyattsville,20782,Yes,1,Active,1,3,May 10 2023,May 09 2024,Feb 26 2020,,,,Laura Suguiyama
Charles,256267,Family Childcare,Cynthia Dyson,Waldorf,20603,Yes,1,Active,1,2,Jul 18 2023,Jul 17 2024,Mar 23 2021,,,,Nancy Gumbel
Cecil,256265,Family Childcare,Bethany Kitts,Cecil,21921,Yes,1,Active,1,2,Aug 23 2023,Aug 22 2024,Jun 30 2020,,,,Rachel Dorf
Saint Mary's,256268,Center,Foundations Learning Center,Lexington Park,20653,Yes,1,Active,1,3,May 12 2023,May 11 2024,Mar 11 2020,,,,Ann Evans
Montgomery,259561,Family Childcare,Claudia Rivas,Damascus,20872,Yes,1,Active,1,2,Jul 28 2023,Jul 27 2024,Aug 03 2021,,,No Additional Staff,Ann Evans
Montgomery,256284,Family Childcare,Azeb Teklay,Silver Spring,20904,Yes,1,Active,1,2,Jun 01 2023,May 31 2024,Jul 12 2022,,,,Amy Brannock
Anne Arundel,259388,Family Childcare,Nadine Barber,Gambrills,21054,Yes,1,Active,1,2,Dec 20 2023,Dec 19 2024,Mar 11 2020,,,No Additional Staff,Theresa Lutz
Montgomery,256227,Center,Busy Bees FD LLC,Rockville,20850,Yes,3,Active,3,3,Jun 13 2023,Jun 12 2024,Mar 11 2020,,,,Ann Evans
Anne Arundel,256302,Center,Little Magic Garden,Jessup,20794,Yes,1,Active,1,3,Feb 16 2023,Feb 16 2024,Mar 11 2020,,,,Jennifer Blandford
Prince George's,256305,Family Childcare,Pamela Evans,Laurel,20707,Yes,1,Active,1,2,Mar 23 2023,Mar 22 2024,Mar 25 2020,,,No Additional Staff,Nancy Gumbel
Harford,256165,Family Childcare,Jessica Duncan,Bel Air,21014,Yes,2,Active,2,2,Jul 28 2023,Jul 27 2024,Jul 14 2020,,,No Additional Staff,Amy Brannock
Prince George's,256295,Center,Young World Childcare Center,Fort Washington,20744,Yes,1,Active,1,3,Mar 06 2023,Mar 05 2024,Mar 11 2020,,,,Jennifer Blandford
Frederick,256323,Family Childcare,Wuyah Johnson,Frederick,21702,Yes,1,Active,1,2,Mar 06 2023,Mar 05 2024,May 19 2020,,,No Additional Staff,Laura Suguiyama
Baltimore,256361,Family Childcare,Sandra McCoy,Baltimore,21206,Yes,1,Active,1,2,Sep 22 2023,Sep 21 2024,May 19 2020,,,,Beth Snyder
Prince George's,256401,Family Childcare,Cristeen Kselman,Bowie,20715,Yes,1,Active,1,2,Mar 06 2023,Mar 05 2024,Apr 23 2020,,,,Sarah Thistle
Prince George's,256420,Family Childcare,Mayah Mckisset,Fort Washington,20744,Yes,1,Active,1,2,Aug 24 2023,Aug 23 2024,Oct 12 2021,,,,Nancy Gumbel
Montgomery,256442,Family Childcare,Pedro Saba Ramirez,Bethesda,20817,Yes,0,,,,,,Oct 24 2023,,,,Amy Brannock
Montgomery,256443,Family Childcare,Sandra Nunez de Ubiera,Montgomery Village,20886,Yes,1,Active,1,2,Dec 04 2023,Dec 03 2024,Jun 30 2020,,,,Ann Evans
Montgomery,250956,LOC,St.Bartholomew School,Bethesda,20817,Yes,1,Active,1,3,Apr 26 2023,Apr 25 2024,Mar 09 2021,,,,Laura Suguiyama
Montgomery,156678,LOC,St. Mary's School After Care Program,Rockville,20852,Yes,1,Active,1,2,Oct 10 2023,Oct 09 2024,Aug 02 2022,,,,Julie Mitchell
Baltimore City,256500,Center,All My Children Childcare Center@Baltimore Street,Baltimore,21223,Yes,2,Active,2,3,Oct 11 2023,Oct 10 2024,Aug 02 2022,,,,Liana Vega-Hernandez
Saint Mary's,256266,LOC,St. John's School,Hollywood,20636,Yes,0,,,,,,Feb 28 2023,,,,Amy Brannock
Prince George's,161816,LOC,St. Mary of the Assumption School,Upper Marlboro,20772,Yes,3,Active,3,3,Mar 16 2023,Mar 15 2024,Jul 14 2020,,,Cognia Early Learning Accreditation 2026-06-30,Ann Evans
Montgomery,256540,Center,Primrose School of Downtown Bethesda,Bethesda,20814,Yes,1,Active,1,3,May 01 2023,Apr 30 2024,Nov 08 2022,,,Cognia Early Learning Accreditation 2027-06-30,Amy Brannock
Montgomery,256520,Family Childcare,Anoopwattie Harriparshad,Silver Spring,20906,Yes,1,Active,1,2,Jul 28 2023,Jul 27 2024,Jan 12 2022,,,,Ann Evans
Montgomery,100565,LOC,Mother of God Pre-K and Extended Care Program,Gaithersburg,20879,Yes,1,Active,1,3,Jun 15 2023,Jun 14 2024,Jul 14 2020,,,,Rachel Dorf
Baltimore City,15356,LOC,Grace United Methodist Preschool,Baltimore,21210,Yes,2,Active,2,3,May 04 2023,May 03 2024,Dec 08 2020,,,,Rachel Dorf
Prince George's,256582,Center,Happy Home Early Learning Center,Glenn Dale,20769,Yes,1,Active,1,3,Apr 17 2023,Apr 16 2024,Jul 28 2020,,,,Sally Gill
Prince George's,256624,Family Childcare,Veronica Bryant,Laurel,20708,Yes,1,Active,1,2,Jul 06 2023,Jul 05 2024,Aug 25 2020,,,,Carla Hillery
Howard,256623,Family Childcare,Melissa Van Deusen,Columbia,21044,Yes,1,Active,1,2,Feb 16 2023,Feb 16 2024,Jan 25 2022,,,,Michelle Gray
Washington,256628,Family Childcare,Ashley Keefer,Hagerstown,21742,Yes,1,Active,1,2,Dec 20 2023,Dec 19 2024,Feb 23 2021,,,No Additional Staff,Theresa Lutz
Harford,256629,Family Childcare,Heather Slaysman,Edgewood,21040,Yes,1,Active,1,2,Dec 13 2023,Dec 12 2024,Aug 11 2020,,,,Ann Evans
Frederick,256665,Family Childcare,Satwinder Singh,Frederick,21703,Yes,1,Active,1,2,Apr 05 2023,Apr 04 2024,Sep 08 2020,,,,Nancy Gumbel
Anne Arundel,259264,Large Family Childcare,Taylor Lewis,Crofton,21114,Yes,2,Active,2,2,Apr 12 2023,Apr 11 2024,Aug 11 2020,,,No Additional Staff,Ann Evans
Montgomery,256681,Large Family Childcare,Shaukat Rizvi,Silver Spring,20904,Yes,0,,,,,,Oct 24 2023,,,,Amy Brannock
